time,h_wspd_1,h_wspd_2,h_wspd_3,h_wspd_4,h_wspd_5,h_wspd_6,h_wdir_1,h_wdir_2,h_wdir_3,h_wdir_4,h_wdir_5,h_wdir_6,file_date,avg_pressure,avg_temp,avg_humidity,avg_dew_point
19,7.58,9.18,8.90,8.99,8.24,6.91,-56.58,-55.29,-55.34,-56.41,-58.07,-60.40,2016-01-01,1017.0,5.7,67.3,0.1
20,9.09,11.26,10.96,11.08,10.36,7.83,-58.56,-57.50,-57.69,-58.16,-59.70,-61.39,2016-01-01,1016.8,6.0,64.6,-0.2
21,9.25,10.82,10.88,10.96,10.34,7.74,-46.22,-44.87,-44.98,-45.96,-47.65,-49.58,2016-01-01,1017.3,5.6,62.6,-1.0
22,7.88,8.62,8.95,9.18,8.46,6.45,-49.73,-46.61,-47.11,-48.63,-50.09,-52.68,2016-01-01,1017.5,5.1,61.9,-1.6
23,7.00,7.37,7.74,7.94,7.35,5.75,-51.65,-48.87,-48.83,-49.95,-51.25,-54.17,2016-01-01,1018.1,4.9,62.6,-1.7
24,6.65,6.91,7.31,7.52,7.00,5.63,-57.54,-54.71,-55.19,-56.35,-57.14,-58.76,2016-01-01,1018.6,4.7,62.5,-1.8
1,6.99,7.36,7.80,8.15,7.77,6.45,-52.61,-49.17,-49.76,-51.17,-51.43,-52.94,2016-01-02,1019.2,4.6,64.3,-1.5
2,8.36,9.29,9.58,10.03,9.51,7.43,-54.70,-51.15,-51.78,-53.45,-54.00,-56.66,2016-01-02,1019.4,4.5,61.1,-2.3
3,7.85,8.53,8.92,9.37,8.91,6.41,-46.83,-42.76,-43.62,-45.64,-45.67,-48.72,2016-01-02,1019.7,4.2,57.5,-3.4
4,6.15,6.15,6.66,7.01,6.54,4.84,-47.03,-41.43,-43.09,-44.93,-44.22,-48.55,2016-01-02,1019.9,3.6,56.0,-4.4
5,5.10,4.71,5.33,5.66,5.41,4.39,-49.10,-41.57,-43.29,-44.95,-44.61,-50.38,2016-01-02,1020.0,3.5,56.0,-4.5
6,4.92,4.48,5.01,5.23,4.96,4.03,-57.45,-52.61,-54.61,-56.42,-56.47,-61.24,2016-01-02,1019.5,3.3,58.0,-4.1
7,5.41,5.16,5.64,5.95,5.71,4.71,-50.66,-44.18,-45.60,-46.77,-45.78,-49.53,2016-01-02,1019.6,3.1,60.5,-3.8
8,5.56,5.38,5.77,5.99,5.66,4.60,-46.88,-42.65,-43.42,-43.80,-42.41,-43.97,2016-01-02,1019.9,3.0,60.7,-3.9
9,5.55,5.38,5.77,5.93,5.59,4.49,-50.20,-46.23,-46.61,-46.88,-45.91,-48.83,2016-01-02,1019.5,2.7,61.7,-3.9
10,5.32,5.18,5.56,5.77,5.53,4.64,-39.23,-34.07,-35.22,-36.33,-36.12,-39.90,2016-01-02,1019.6,2.8,61.3,-3.9
11,4.74,4.47,4.82,4.99,4.79,4.03,-33.01,-28.03,-27.93,-28.27,-27.09,-29.32,2016-01-02,1019.9,2.6,61.5,-4.1
12,4.72,4.51,4.90,5.10,4.97,4.32,-32.05,-29.98,-30.50,-30.86,-31.30,-33.87,2016-01-02,1020.1,2.3,61.8,-4.3
13,4.41,4.08,4.48,4.70,4.60,4.03,-39.68,-37.17,-36.65,-36.48,-36.10,-37.76,2016-01-02,1020.7,2.2,64.8,-3.7
14,4.41,4.08,4.55,4.78,4.67,4.11,-41.32,-38.94,-38.47,-38.05,-37.62,-40.27,2016-01-02,1021.4,2.5,63.4,-3.8
15,4.67,4.37,4.75,4.89,4.76,4.19,-51.33,-49.87,-49.58,-49.14,-49.12,-52.22,2016-01-02,1021.5,3.2,57.5,-4.5
16,5.05,4.83,5.19,5.31,5.11,4.45,-57.92,-55.42,-56.05,-57.36,-57.47,-59.65,2016-01-02,1021.3,3.4,55.7,-4.6
17,5.41,5.26,5.57,5.64,5.47,4.75,-71.37,-70.17,-70.30,-70.49,-71.08,-74.14,2016-01-02,1020.3,3.8,56.0,-4.2
18,5.86,5.79,6.14,6.26,6.02,5.02,-78.70,-77.16,-77.28,-77.46,-78.22,-81.28,2016-01-02,1018.9,4.3,55.1,-3.9
19,6.00,5.93,6.34,6.53,6.31,5.28,-85.34,-83.83,-84.02,-84.20,-84.96,-88.34,2016-01-02,1018.0,5.2,55.0,-3.1
20,6.51,6.55,6.93,7.09,6.71,5.44,-85.48,-83.20,-83.54,-84.08,-84.85,-88.75,2016-01-02,1017.2,5.8,53.7,-2.9
21,6.25,6.26,6.71,6.98,6.62,5.21,-81.59,-77.76,-78.76,-80.06,-80.75,-84.48,2016-01-02,1017.2,6.3,55.3,-2.1
22,6.90,7.12,7.51,7.79,7.35,5.57,-75.19,-69.44,-71.41,-73.25,-73.63,-77.68,2016-01-02,1017.4,6.2,54.4,-2.4
23,6.80,6.98,7.37,7.64,7.28,5.71,-79.72,-75.86,-77.87,-79.52,-79.90,-83.09,2016-01-02,1017.9,6.0,55.2,-2.3
24,5.02,4.65,5.15,5.41,5.15,3.98,-81.50,-74.09,-77.04,-79.34,-79.45,-84.59,2016-01-02,1018.0,6.0,56.5,-2.0
1,5.82,5.62,6.15,6.46,6.11,4.81,-89.74,-85.86,-87.79,-89.32,-89.68,-93.76,2016-01-03,1017.8,6.4,57.0,-1.5
2,6.90,7.04,7.47,7.74,7.34,5.76,-97.57,-95.41,-96.53,-97.42,-97.69,-100.42,2016-01-03,1017.4,6.9,58.1,-0.8
3,6.57,6.59,7.05,7.32,6.94,5.46,-105.01,-103.67,-104.61,-105.78,-106.40,-109.51,2016-01-03,1017.0,7.1,58.7,-0.4
4,7.09,7.29,7.66,7.91,7.52,5.91,-103.54,-101.20,-101.77,-102.62,-102.69,-105.08,2016-01-03,1016.6,7.3,61.9,0.4
5,7.30,7.55,7.89,8.13,7.75,5.94,-100.80,-98.11,-98.56,-99.35,-99.20,-101.80,2016-01-03,1016.1,7.5,62.9,0.9
6,7.62,7.98,8.34,8.70,8.02,6.18,-107.00,-104.69,-105.49,-106.65,-107.44,-110.00,2016-01-03,1015.6,8.0,59.6,0.6
7,8.66,9.12,9.35,9.63,8.94,7.51,-104.33,-103.08,-103.28,-103.90,-104.33,-105.07,2016-01-03,1015.0,8.1,64.4,1.8
8,9.30,9.70,9.90,10.17,9.75,8.71,-91.41,-90.48,-90.40,-90.66,-90.66,-90.52,2016-01-03,1014.7,7.2,72.2,2.5
9,7.31,7.50,7.72,7.94,7.54,5.91,-80.53,-78.24,-78.14,-77.89,-77.20,-76.62,2016-01-03,1014.2,6.4,74.6,2.2
10,5.30,5.17,5.46,5.67,5.30,3.33,-94.65,-91.14,-89.08,-85.93,-87.37,-83.52,2016-01-03,1013.5,6.1,76.2,2.3
11,5.70,5.62,5.86,5.95,5.74,4.68,-102.96,-100.79,-100.24,-99.90,-100.42,-100.35,2016-01-03,1013.3,6.8,73.1,2.3
12,6.17,6.16,6.39,6.48,6.27,5.33,-110.61,-109.96,-109.98,-110.09,-110.78,-112.08,2016-01-03,1013.6,6.7,74.4,2.5
13,7.01,7.10,7.27,7.29,6.86,5.11,-124.40,-125.09,-125.53,-126.50,-127.68,-134.01,2016-01-03,1013.1,7.0,74.1,2.7
14,6.81,6.90,7.13,7.17,6.94,6.12,-114.18,-114.83,-114.99,-115.62,-116.42,-118.82,2016-01-03,1013.1,7.5,68.7,2.2
15,6.41,6.46,6.67,6.76,6.60,5.95,-97.00,-96.27,-97.46,-98.94,-100.67,-103.48,2016-01-03,1013.4,6.9,72.9,2.4
16,5.07,4.94,5.19,5.28,5.19,4.63,-97.16,-95.42,-96.40,-97.46,-98.36,-99.07,2016-01-03,1013.2,7.2,71.2,2.3
17,6.16,6.13,6.43,6.56,6.33,5.30,-110.02,-108.46,-107.91,-107.62,-107.91,-107.96,2016-01-03,1011.9,8.1,64.9,2.0
18,6.78,6.87,7.20,7.43,6.81,5.18,-113.75,-110.77,-109.58,-109.69,-109.57,-109.07,2016-01-03,1010.4,9.0,59.8,1.5
19,7.31,7.73,7.76,7.98,7.31,5.36,-103.60,-101.25,-99.33,-99.78,-99.46,-99.04,2016-01-03,1009.7,9.5,55.6,1.1
20,6.97,7.76,7.91,8.22,7.26,4.56,-73.66,-71.79,-67.59,-72.38,-73.52,-77.42,2016-01-03,1009.6,10.3,46.0,-0.9
21,6.27,7.01,7.44,7.26,6.44,4.08,-50.17,-50.01,-47.64,-49.73,-51.52,-55.37,2016-01-03,1009.9,10.1,43.4,-1.8
22,5.46,6.08,6.48,6.31,5.60,3.48,-37.01,-36.83,-34.46,-36.52,-38.22,-40.69,2016-01-03,1010.8,9.4,44.1,-2.2
23,6.68,7.27,7.64,7.58,7.01,5.19,-13.76,-13.43,-11.26,-12.97,-13.93,-14.85,2016-01-03,1012.0,8.2,47.4,-2.4
24,8.68,9.28,9.64,9.59,9.17,7.34,-9.06,-9.03,-7.92,-8.69,-9.36,-9.24,2016-01-03,1013.2,6.2,55.9,-1.9
1,7.56,8.18,8.60,8.58,8.03,5.85,-12.82,-12.46,-12.33,-12.56,-12.92,-13.51,2016-01-04,1013.7,5.4,57.4,-2.4
2,7.00,7.69,8.18,8.19,7.71,5.52,-18.11,-16.92,-16.34,-16.28,-16.59,-17.40,2016-01-04,1013.9,4.6,58.9,-2.7
3,5.51,6.07,6.54,6.54,6.15,4.56,-31.67,-29.79,-28.81,-28.26,-28.70,-30.05,2016-01-04,1014.0,4.2,59.7,-3.0
4,6.03,6.53,6.92,6.99,6.72,5.12,-46.19,-44.53,-43.58,-43.12,-43.36,-44.06,2016-01-04,1014.1,4.0,62.9,-2.5
5,7.07,7.62,8.02,8.08,7.71,5.85,-46.05,-45.02,-44.20,-43.49,-42.68,-42.11,2016-01-04,1013.7,3.7,65.0,-2.3
6,7.80,8.40,8.92,9.15,9.01,7.24,-39.86,-39.19,-38.84,-38.58,-37.96,-36.43,2016-01-04,1013.3,3.2,67.2,-2.3
7,8.71,9.29,9.80,10.07,10.00,8.31,-31.38,-30.62,-30.13,-29.97,-29.71,-28.73,2016-01-04,1012.8,3.2,68.9,-2.0
8,8.86,9.40,9.89,10.14,10.13,8.51,-29.71,-29.07,-28.77,-28.60,-28.09,-27.65,2016-01-04,1012.7,3.1,70.5,-1.7
9,8.38,9.12,9.76,10.13,10.14,7.89,-28.64,-28.00,-27.67,-27.67,-27.43,-28.42,2016-01-04,1012.6,2.3,70.5,-2.5
10,8.89,9.70,10.36,10.62,10.36,7.33,-26.92,-26.23,-25.81,-25.61,-24.97,-26.17,2016-01-04,1012.9,2.1,70.7,-2.7
11,7.19,8.07,8.67,8.74,8.07,5.63,-24.04,-23.17,-22.37,-21.81,-20.38,-21.10,2016-01-04,1014.0,1.6,69.7,-3.3
12,6.09,6.74,7.17,7.18,6.67,4.87,-18.27,-17.01,-15.78,-14.90,-13.55,-14.65,2016-01-04,1015.0,1.3,71.8,-3.2
13,7.21,7.90,8.35,8.26,7.61,5.11,-16.49,-15.06,-14.30,-14.26,-15.04,-17.13,2016-01-04,1015.6,0.9,69.5,-4.1
14,7.93,9.43,9.85,9.50,8.20,5.08,-18.34,-17.67,-16.51,-17.14,-19.26,-23.06,2016-01-04,1016.4,0.0,61.1,-6.6
15,7.24,8.69,9.04,8.62,7.35,4.30,-18.56,-17.30,-15.79,-16.36,-17.88,-28.15,2016-01-04,1017.3,-0.3,59.0,-7.4
16,6.76,8.09,8.42,8.11,7.06,4.17,-23.34,-21.40,-19.23,-19.50,-20.44,-34.98,2016-01-04,1017.4,-0.1,55.1,-8.0
17,6.95,8.03,8.43,8.16,7.41,4.24,-21.13,-20.79,-18.77,-19.60,-20.35,-33.39,2016-01-04,1016.7,0.1,53.6,-8.2
18,7.34,8.69,9.00,8.71,7.46,4.42,-20.26,-19.89,-17.32,-17.34,-18.29,-24.89,2016-01-04,1016.4,0.2,51.8,-8.5
19,7.48,8.85,9.21,8.99,8.02,4.59,-17.63,-17.57,-15.85,-15.89,-17.65,-29.03,2016-01-04,1016.3,0.8,48.1,-9.0
20,8.62,10.06,10.62,10.19,8.37,5.06,-15.03,-14.89,-12.86,-12.91,-17.08,-29.67,2016-01-04,1016.8,1.0,44.5,-9.8
21,7.80,8.92,9.63,8.86,7.99,4.17,-20.99,-19.99,-17.34,-19.06,-24.43,-36.38,2016-01-04,1017.7,0.7,43.1,-10.4
22,7.40,8.78,9.35,8.66,6.79,4.66,-23.09,-19.83,-17.69,-18.77,-27.14,-36.76,2016-01-04,1019.2,-0.1,45.0,-10.6
23,7.92,9.78,10.42,9.71,7.71,4.58,-25.74,-19.83,-17.82,-18.71,-22.87,-40.94,2016-01-04,1020.7,-1.2,50.3,-10.3
24,8.27,9.41,10.22,9.59,7.98,5.37,-28.27,-24.79,-22.00,-24.50,-28.91,-38.02,2016-01-04,1022.1,-2.4,53.5,-10.5
1,10.92,11.88,12.61,12.22,11.37,6.48,-19.84,-18.84,-18.69,-18.60,-19.28,-23.01,2016-01-05,1023.5,-3.6,56.6,-10.9
2,10.36,11.44,12.34,11.86,10.37,6.76,-22.67,-19.58,-18.26,-18.79,-22.57,-30.21,2016-01-05,1024.6,-4.7,58.9,-11.5
3,11.66,12.32,12.97,12.54,11.35,7.74,-20.07,-18.52,-17.17,-17.53,-18.79,-29.78,2016-01-05,1025.4,-5.8,62.4,-11.8
4,12.42,13.18,13.66,13.46,12.65,8.49,-18.25,-16.67,-15.90,-17.23,-15.15,-15.49,2016-01-05,1026.6,-6.7,66.2,-11.9
5,11.84,12.85,13.16,13.18,11.63,7.00,-13.49,-11.99,-10.84,-10.47,-14.59,-2.49,2016-01-05,1027.4,-7.4,70.2,-11.9
6,11.98,12.66,12.95,12.73,12.15,8.66,-7.04,-6.12,-5.45,-5.84,-6.60,-9.65,2016-01-05,1028.2,-7.9,71.2,-12.2
7,11.24,11.92,12.35,12.30,11.48,7.64,-13.72,-13.13,-12.62,-13.07,-13.53,-16.94,2016-01-05,1029.1,-8.6,71.4,-12.8
8,11.74,12.53,12.79,12.70,12.09,8.81,-15.67,-15.17,-14.60,-14.50,-14.14,-13.26,2016-01-05,1029.9,-9.1,73.7,-12.9
9,11.89,12.64,13.00,12.99,12.00,7.70,-16.95,-16.39,-15.50,-15.30,-16.69,-20.24,2016-01-05,1030.3,-9.1,74.9,-12.7
10,10.39,11.32,11.86,11.69,10.83,5.85,-17.25,-16.56,-15.45,-15.37,-15.88,-21.30,2016-01-05,1030.8,-9.3,75.2,-12.9
11,9.29,10.35,10.77,10.50,9.33,4.99,-6.74,-5.93,-4.84,-5.16,-5.68,-12.69,2016-01-05,1031.8,-9.4,74.4,-13.1
12,7.96,9.06,9.54,9.46,8.15,4.47,-5.19,-3.22,-2.23,-2.16,-3.64,-24.29,2016-01-05,1033.3,-9.4,72.4,-13.5
13,7.10,8.18,8.54,8.30,7.16,4.11,-13.04,-10.62,-8.57,-7.99,-10.03,-13.21,2016-01-05,1034.5,-9.4,71.6,-13.6
14,6.75,7.71,8.15,7.67,6.63,3.96,-10.56,-8.40,-6.13,-5.88,-7.68,-13.77,2016-01-05,1035.1,-9.2,69.0,-13.8
15,7.34,8.30,8.60,8.35,7.20,4.65,-7.49,-5.22,-3.63,-3.62,-5.68,-13.37,2016-01-05,1036.0,-8.1,68.0,-12.9
16,5.95,6.77,6.99,6.88,5.92,3.97,-2.90,-1.44,0.39,1.27,-0.73,-10.42,2016-01-05,1036.7,-6.8,62.0,-12.8
17,4.27,5.25,5.18,5.18,4.24,2.91,-4.28,-1.02,0.04,1.80,-3.71,-24.71,2016-01-05,1036.7,-5.6,52.0,-13.9
18,3.93,5.20,5.10,4.90,3.79,2.11,-17.39,-12.22,-11.20,-11.02,-18.14,-27.73,2016-01-05,1036.4,-4.1,45.2,-14.2
19,3.14,4.24,4.16,3.94,3.11,2.15,-22.59,-17.84,-16.84,-16.40,-24.35,-23.22,2016-01-05,1035.9,-3.2,39.1,-15.1
20,3.10,4.29,4.50,4.22,3.13,1.80,-5.52,-3.99,-0.37,1.83,-5.97,2.19,2016-01-05,1036.1,-2.0,36.4,-15.0
21,2.77,3.93,4.00,3.72,2.81,3.09,-9.37,-7.21,-4.97,-3.61,-11.07,1.53,2016-01-05,1036.6,-1.6,33.4,-15.6
22,2.57,3.35,3.59,3.30,2.60,1.93,-12.50,-10.26,-8.20,-7.58,-18.27,-16.54,2016-01-05,1037.0,-1.5,33.1,-15.7
23,2.68,3.30,3.79,3.49,2.58,1.58,-22.45,-18.19,-16.52,-13.41,-22.30,10.70,2016-01-05,1037.4,-1.7,34.6,-15.4
24,2.73,3.49,3.79,3.37,2.62,2.52,-18.91,-15.59,-14.94,-10.12,-17.49,-20.80,2016-01-05,1037.7,-2.1,35.4,-15.3
1,3.19,3.92,4.27,3.94,3.16,2.20,-16.10,-14.55,-13.87,-10.78,-16.26,-28.02,2016-01-06,1038.3,-2.1,35.0,-15.5
2,2.87,3.52,3.77,3.52,2.89,1.99,-17.69,-14.95,-12.98,-10.04,-15.10,-28.01,2016-01-06,1038.6,-2.1,34.4,-15.6
3,2.67,3.24,3.53,3.19,2.61,1.80,-2.92,-0.17,1.89,5.81,-0.33,-2.98,2016-01-06,1038.3,-1.8,35.8,-14.9
4,2.29,2.76,2.99,2.61,2.03,2.12,-2.15,2.55,3.59,9.11,-2.83,10.51,2016-01-06,1038.2,-1.5,36.1,-14.6
5,2.37,2.62,2.85,2.47,1.95,1.24,-6.01,-0.08,0.39,5.86,-9.28,22.82,2016-01-06,1037.6,-1.4,37.0,-14.2
6,2.33,2.48,2.57,2.19,1.59,1.12,-25.32,-17.64,-12.46,-1.58,-21.44,-3.72,2016-01-06,1037.4,-1.6,41.9,-12.9
7,2.31,2.43,2.55,2.15,1.66,1.33,-35.33,-29.22,-26.16,-19.57,-32.62,11.58,2016-01-06,1037.1,-1.6,40.7,-13.2
8,2.41,2.59,2.70,2.30,1.67,1.44,-22.48,-15.98,-13.23,-6.44,-23.63,6.29,2016-01-06,1036.9,-1.8,42.7,-12.8
9,2.92,3.22,3.25,2.90,1.95,1.26,-50.18,-45.84,-43.19,-37.15,-40.68,5.56,2016-01-06,1036.8,-2.2,46.3,-12.1
10,2.65,2.93,2.79,2.46,1.20,0.99,-44.29,-42.40,-39.13,-32.28,-38.23,-4.47,2016-01-06,1036.6,-2.4,46.9,-12.2
11,2.30,2.58,2.49,2.22,1.38,1.12,-56.07,-55.45,-56.17,-56.67,-75.67,-35.07,2016-01-06,1037.0,-1.8,47.2,-11.6
12,3.05,3.34,3.23,2.86,1.92,1.29,-59.97,-60.31,-62.89,-65.86,-85.67,3.16,2016-01-06,1037.3,-1.9,50.9,-10.7
13,2.87,3.24,3.27,3.06,2.14,0.91,-56.56,-57.40,-61.24,-63.83,-82.07,65.63,2016-01-06,1037.2,-1.7,48.6,-11.1
14,2.09,2.43,2.49,2.47,1.79,1.18,-70.78,-68.95,-71.42,-72.00,-89.45,-49.29,2016-01-06,1037.4,-0.7,40.1,-12.7
15,2.63,2.97,3.07,3.06,2.46,1.77,-53.17,-52.33,-52.46,-52.35,-57.42,-65.61,2016-01-06,1037.7,-0.5,51.7,-9.3
16,2.11,2.34,2.45,2.46,2.00,1.50,-72.00,-68.84,-68.69,-66.67,-71.90,-79.78,2016-01-06,1037.5,-0.3,52.6,-8.8
17,1.40,1.54,1.64,1.64,1.44,1.28,-102.08,-98.09,-98.99,-97.67,-108.78,-101.43,2016-01-06,1036.4,0.3,47.2,-9.6
18,1.70,1.84,1.95,1.89,1.68,1.56,-136.38,-131.31,-125.63,-121.18,-129.59,-136.04,2016-01-06,1034.9,0.8,46.8,-9.2
19,1.50,1.70,1.86,1.80,1.49,1.49,-127.75,-130.24,-128.53,-122.83,-112.19,-13.49,2016-01-06,1033.9,1.8,45.8,-8.7
20,1.41,1.65,1.83,1.72,1.44,1.54,-113.66,-127.52,-132.48,-130.13,-74.80,-5.81,2016-01-06,1033.5,2.6,44.4,-8.3
21,1.82,2.19,2.45,2.28,1.75,1.61,-145.28,-146.03,-143.59,-138.18,-141.15,-10.85,2016-01-06,1033.0,3.1,44.0,-8.0
22,2.07,2.33,2.64,2.32,1.96,1.92,-121.05,-134.04,-131.52,-121.35,-86.43,14.26,2016-01-06,1032.5,2.9,47.9,-7.1
23,2.09,2.34,2.61,2.36,2.05,2.19,-135.34,-135.95,-146.11,-138.84,-124.17,-44.06,2016-01-06,1032.4,2.7,49.9,-6.7
24,2.11,2.43,2.87,2.54,2.21,2.25,-142.17,-140.23,-141.20,-131.18,-136.47,-67.60,2016-01-06,1032.7,3.1,50.7,-6.2
1,1.83,2.07,2.34,2.13,1.78,1.65,-112.56,-114.09,-111.42,-108.28,-123.50,-35.89,2016-01-07,1032.5,3.2,51.4,-6.0
2,2.11,2.18,2.19,2.19,2.03,1.67,-82.50,-87.05,-95.71,-104.77,-119.59,-57.68,2016-01-07,1032.4,2.9,61.7,-3.8
3,1.84,1.89,1.90,1.94,2.00,1.87,-87.79,-91.81,-98.94,-107.37,-120.54,-137.94,2016-01-07,1032.1,2.9,65.2,-3.0
4,1.70,1.76,1.76,1.73,1.50,1.15,-76.10,-78.84,-84.61,-89.70,-104.15,-66.97,2016-01-07,1031.8,3.1,53.2,-5.6
5,1.25,1.26,1.17,1.11,0.67,0.98,-88.18,-87.21,-86.23,-85.09,-40.21,49.68,2016-01-07,1031.1,3.2,45.4,-7.4
6,1.58,1.66,1.59,1.62,0.90,0.95,-39.29,-34.08,-26.70,-24.10,-19.21,-0.19,2016-01-07,1030.3,3.3,42.2,-8.4
7,1.78,2.12,2.16,2.15,0.96,1.32,-16.19,-12.31,-8.07,-8.67,-13.00,-17.93,2016-01-07,1029.7,3.0,41.6,-8.8
8,1.80,2.04,1.99,1.85,0.77,1.42,0.17,2.69,5.32,6.53,-1.54,-32.74,2016-01-07,1029.2,3.0,40.7,-9.0
9,1.78,2.01,2.00,1.92,0.90,0.75,-2.94,-0.62,3.14,6.45,1.16,-4.04,2016-01-07,1029.0,3.0,44.6,-7.8
10,2.42,2.81,2.84,2.66,1.39,0.90,15.21,16.19,18.83,21.31,17.26,17.32,2016-01-07,1028.6,2.9,48.4,-6.9
11,2.95,3.35,3.50,3.35,1.96,2.07,2.47,4.28,7.53,11.32,9.54,-1.50,2016-01-07,1028.5,2.7,53.8,-5.8
12,3.36,3.79,3.92,3.72,2.38,1.81,12.48,13.78,16.39,17.72,16.15,19.74,2016-01-07,1028.5,2.5,59.3,-4.6
13,3.17,3.55,3.62,3.56,2.38,1.63,34.82,36.24,41.04,39.88,39.87,64.80,2016-01-07,1028.5,2.4,63.9,-3.8
14,3.27,3.59,3.76,3.79,3.25,2.36,58.28,59.54,64.96,65.31,68.44,65.23,2016-01-07,1028.4,3.2,64.4,-2.9
15,3.45,3.77,3.80,3.69,3.23,2.56,40.15,40.85,44.65,45.71,48.40,53.35,2016-01-07,1028.4,4.3,60.9,-2.6
16,4.15,4.38,4.48,4.51,4.27,3.45,24.57,27.98,32.64,37.70,43.69,55.91,2016-01-07,1027.7,3.8,64.9,-2.2
17,3.47,3.56,3.60,3.66,3.68,3.56,48.39,50.84,54.40,57.86,62.30,74.66,2016-01-07,1026.4,4.8,66.9,-0.9
18,4.10,4.12,4.16,4.16,4.05,3.35,35.08,39.30,45.36,52.56,61.35,75.54,2016-01-07,1025.1,5.0,70.1,0.0
19,4.34,4.44,4.50,4.46,4.26,3.56,33.47,35.21,38.04,41.96,47.88,60.65,2016-01-07,1024.5,5.6,69.0,0.4
20,4.44,4.55,4.63,4.54,4.05,2.05,41.74,44.00,46.57,48.33,49.60,43.05,2016-01-07,1024.0,5.6,73.8,1.3
21,4.12,4.24,4.34,4.11,3.50,1.98,21.78,20.92,20.88,19.99,17.86,41.26,2016-01-07,1024.0,6.1,73.8,1.8
22,3.68,3.93,4.23,4.41,4.43,4.31,43.12,44.14,43.06,41.23,39.80,38.56,2016-01-07,1024.1,6.3,66.1,0.4
23,3.52,3.83,4.06,4.11,3.96,3.50,40.59,40.49,39.80,37.72,34.80,30.28,2016-01-07,1023.9,6.7,76.9,2.9
24,4.18,4.49,4.69,4.43,3.68,1.29,42.96,46.36,49.04,50.03,50.39,21.35,2016-01-07,1024.1,6.5,81.3,3.5
1,5.31,5.64,5.84,5.71,5.21,2.59,31.95,36.45,39.94,41.50,42.41,25.84,2016-01-08,1024.1,6.0,72.3,1.4
2,5.86,6.38,6.69,6.48,6.00,4.82,39.98,44.58,48.56,50.51,51.64,53.15,2016-01-08,1023.8,5.7,70.9,0.8
3,4.46,4.89,5.33,5.58,5.62,5.31,53.10,58.98,63.15,66.15,68.66,70.90,2016-01-08,1023.4,5.7,73.2,1.3
